step,epoch,loss,avg_epoch_loss,lr,logit_scale,logit_bias,elapsed_s
50,1,6.62787,51.806186,2.45e-06,14.2824,-4e-05,27.8
100,1,6.482034,29.172628,4.95e-06,14.2826,-8.7e-05,51.6
150,1,6.354023,21.589318,7.45e-06,14.2834,-0.00015,74.6
200,1,6.156628,17.772429,9.95e-06,14.2848,-0.000246,98.0
250,1,6.197386,15.464448,1.245e-05,14.2861,-0.000345,121.5
300,1,6.111493,13.913236,1.495e-05,14.2875,-0.000444,145.2
350,1,6.090722,12.798333,1.745e-05,14.2885,-0.000543,168.7
400,1,5.950334,11.956096,1.995e-05,14.2899,-0.00066,192.3
450,1,5.989141,11.296733,2.245e-05,14.291,-0.000766,215.7
500,1,5.980533,10.761902,2.495e-05,14.2935,-0.000924,238.8
550,1,5.873496,10.319849,2.745e-05,14.2962,-0.001085,262.7
600,1,5.863103,9.946669,2.995e-05,14.2994,-0.001274,286.0
650,1,5.901192,9.627079,3.245e-05,14.3025,-0.001464,308.8
700,1,5.625938,9.347847,3.495e-05,14.3069,-0.001706,331.8
750,1,5.661513,9.099793,3.745e-05,14.3137,-0.002031,355.0
800,1,5.495892,8.877677,3.995e-05,14.3232,-0.002436,378.3
850,1,5.523912,8.676729,4.245e-05,14.3337,-0.002853,401.6
900,1,5.417137,8.495857,4.495e-05,14.3468,-0.003343,424.3
950,1,5.336275,8.330394,4.745e-05,14.3612,-0.003867,447.0
1000,1,5.224866,8.178781,4.995e-05,14.38,-0.004524,470.4
1050,1,5.194882,8.037826,5.245e-05,14.404,-0.00535,496.6
1100,1,5.137401,7.903647,5.495e-05,14.4339,-0.006366,519.4
1150,1,5.017301,7.780177,5.745e-05,14.4646,-0.007549,542.3
1200,1,5.025542,7.6676,5.995e-05,14.4936,-0.00863,565.2
1250,1,4.899206,7.562634,6.245e-05,14.5245,-0.009687,588.4
1300,1,4.893834,7.4636,6.495e-05,14.5603,-0.010975,611.3
1350,1,5.039633,7.370556,6.745e-05,14.6005,-0.012471,634.0
1400,1,4.906319,7.283638,6.995e-05,14.6347,-0.013673,657.1
1450,1,4.890641,7.200079,7.245e-05,14.6785,-0.015157,680.9
1500,1,4.741577,7.122023,7.495e-05,14.7178,-0.016515,703.6
1550,1,4.805545,7.047978,7.745e-05,14.7622,-0.018054,726.7
1600,1,4.784251,6.978281,7.995e-05,14.8083,-0.019696,749.4
1650,1,4.736412,6.911491,8.245e-05,14.8583,-0.021475,772.9
1700,1,4.76506,6.848015,8.495e-05,14.9086,-0.023182,796.0
1750,1,4.87043,6.788115,8.745e-05,14.9603,-0.024978,818.7
1800,1,4.527864,6.730557,8.995e-05,15.0126,-0.026825,841.7
1850,1,4.678064,6.675112,9.245e-05,15.0706,-0.028839,864.4
1900,1,4.626462,6.622706,9.495e-05,15.1268,-0.030728,887.1
1950,1,4.622269,6.571367,9.745e-05,15.188,-0.032818,909.6
2000,1,4.531783,6.522331,9.995e-05,15.2512,-0.035037,932.2
2050,1,4.525981,6.475469,0.0001,15.315,-0.037285,958.6
2100,1,4.44376,6.429551,0.0001,15.3832,-0.039623,981.4
2150,1,4.728992,6.385435,0.0001,15.449,-0.041888,1005.7
2200,1,4.494394,6.343368,0.0001,15.5151,-0.044165,1029.0
2250,1,4.598239,6.302116,0.0001,15.5819,-0.046571,1051.7
2300,1,4.486663,6.261493,0.0001,15.6503,-0.048923,1074.6
2350,1,4.357955,6.222447,0.0001,15.717,-0.051073,1098.4
